 87%|████████▋ | 348/400 [07:55<01:11,  1.37s/it]
Epoch [347/400], Total Loss: 0.6912684217095375

 87%|████████▋ | 349/400 [07:56<01:10,  1.37s/it]
Epoch [349/400], Total Loss: 0.7574683539569378


 88%|████████▊ | 351/400 [08:00<01:19,  1.61s/it]

 88%|████████▊ | 353/400 [08:03<01:09,  1.49s/it]
Epoch [352/400], Total Loss: 0.7208771966397762

 88%|████████▊ | 354/400 [08:04<01:06,  1.45s/it]

 89%|████████▉ | 356/400 [08:07<01:03,  1.44s/it]
Epoch [355/400], Total Loss: 0.736125435680151

 89%|████████▉ | 357/400 [08:08<01:00,  1.41s/it]

 90%|████████▉ | 358/400 [08:10<00:58,  1.39s/it]

 90%|█████████ | 360/400 [08:13<01:01,  1.54s/it]
Epoch [359/400], Total Loss: 0.6756197083741426

 90%|█████████ | 361/400 [08:14<00:57,  1.48s/it]

 91%|█████████ | 363/400 [08:17<00:51,  1.40s/it]
Epoch [362/400], Total Loss: 0.6807628534734249

 91%|█████████ | 364/400 [08:18<00:49,  1.39s/it]

 92%|█████████▏| 366/400 [08:21<00:46,  1.37s/it]
Epoch [365/400], Total Loss: 0.6951522082090378

 92%|█████████▏| 367/400 [08:23<00:45,  1.37s/it]

 92%|█████████▏| 368/400 [08:24<00:43,  1.37s/it]

 92%|█████████▎| 370/400 [08:27<00:40,  1.36s/it]
Epoch [369/400], Total Loss: 0.7028817869722843

 93%|█████████▎| 371/400 [08:28<00:39,  1.35s/it]

 93%|█████████▎| 373/400 [08:31<00:36,  1.33s/it]
Epoch [372/400], Total Loss: 0.6643559262156487

 94%|█████████▎| 374/400 [08:32<00:38,  1.47s/it]

 94%|█████████▍| 376/400 [08:35<00:34,  1.43s/it]
Epoch [375/400], Total Loss: 0.6705584116280079

 94%|█████████▍| 377/400 [08:37<00:32,  1.41s/it]

 94%|█████████▍| 378/400 [08:39<00:35,  1.61s/it]

 95%|█████████▍| 379/400 [08:40<00:31,  1.52s/it]

 95%|█████████▌| 381/400 [08:43<00:27,  1.47s/it]
Epoch [380/400], Total Loss: 0.6861897706985474

 96%|█████████▌| 382/400 [08:44<00:25,  1.43s/it]

 96%|█████████▌| 384/400 [08:47<00:22,  1.40s/it]
Epoch [383/400], Total Loss: 0.6800068691372871

 96%|█████████▋| 385/400 [08:48<00:20,  1.40s/it]

 96%|█████████▋| 386/400 [08:50<00:22,  1.60s/it]

 97%|█████████▋| 388/400 [08:53<00:18,  1.51s/it]
Epoch [387/400], Total Loss: 0.653362825512886

 97%|█████████▋| 389/400 [08:55<00:16,  1.49s/it]

 98%|█████████▊| 390/400 [08:56<00:14,  1.47s/it]

 98%|█████████▊| 392/400 [08:59<00:11,  1.46s/it]
Epoch [391/400], Total Loss: 0.681171327829361

